Kind_of_Business,period,value
"General Merchandise, Apparel, Home Furnishings, and Other Retail Merchandise",2017-09-01,100576.0
General merchandise stores,2017-04-01,55651.0
General merchandise stores,2017-08-01,57880.0
General merchandise stores,2017-12-01,78716.0
General merchandise stores,2017-02-01,49571.0
General merchandise stores,2017-01-01,49906.0
General merchandise stores,2017-07-01,56386.0
General merchandise stores,2017-06-01,56738.0
General merchandise stores,2017-03-01,55762.0
General merchandise stores,2017-05-01,56603.0
General merchandise stores,2017-11-01,63781.0
General merchandise stores,2017-10-01,56416.0
General merchandise stores,2017-09-01,54481.0
"Gift, novelty, and souvenir stores",2017-04-01,1286.0
"Gift, novelty, and souvenir stores",2017-08-01,1485.0
"Gift, novelty, and souvenir stores",2017-12-01,2322.0
"Gift, novelty, and souvenir stores",2017-02-01,1088.0
"Gift, novelty, and souvenir stores",2017-01-01,1010.0
"Gift, novelty, and souvenir stores",2017-07-01,1533.0
"Gift, novelty, and souvenir stores",2017-06-01,1482.0
"Gift, novelty, and souvenir stores",2017-03-01,1233.0
"Gift, novelty, and souvenir stores",2017-05-01,1488.0
"Gift, novelty, and souvenir stores",2017-11-01,1500.0
"Gift, novelty, and souvenir stores",2017-10-01,1955.0
"Gift, novelty, and souvenir stores",2017-09-01,1418.0
Grocery stores,2017-04-01,53635.0
Grocery stores,2017-08-01,55083.0
Grocery stores,2017-12-01,59125.0
Grocery stores,2017-02-01,49212.0
Grocery stores,2017-01-01,52552.0
Grocery stores,2017-07-01,55159.0
Grocery stores,2017-06-01,54191.0
Grocery stores,2017-03-01,54366.0
Grocery stores,2017-05-01,55709.0
Grocery stores,2017-11-01,55443.0
Grocery stores,2017-10-01,54561.0
Grocery stores,2017-09-01,54142.0
Hardware stores,2017-04-01,2208.0
Hardware stores,2017-08-01,2248.0
Hardware stores,2017-12-01,2226.0
Hardware stores,2017-02-01,1696.0
Hardware stores,2017-01-01,1781.0
Hardware stores,2017-07-01,2194.0
Hardware stores,2017-06-01,2392.0
Hardware stores,2017-03-01,2127.0
Hardware stores,2017-05-01,2441.0
Hardware stores,2017-11-01,2153.0
Hardware stores,2017-10-01,2264.0
Hardware stores,2017-09-01,2161.0
Health and personal care stores,2017-04-01,25819.0
Health and personal care stores,2017-08-01,27609.0
Health and personal care stores,2017-12-01,30602.0
Health and personal care stores,2017-02-01,24718.0
Health and personal care stores,2017-01-01,25715.0
Health and personal care stores,2017-07-01,25966.0
Health and personal care stores,2017-06-01,26848.0
Health and personal care stores,2017-03-01,27499.0
Health and personal care stores,2017-05-01,27376.0
Health and personal care stores,2017-11-01,27402.0
Health and personal care stores,2017-10-01,27761.0
Health and personal care stores,2017-09-01,26551.0
"Hobby, toy, and game stores",2017-04-01,1278.0
"Hobby, toy, and game stores",2017-08-01,1243.0
"Hobby, toy, and game stores",2017-12-01,3258.0
"Hobby, toy, and game stores",2017-02-01,1181.0
"Hobby, toy, and game stores",2017-01-01,1182.0
"Hobby, toy, and game stores",2017-07-01,1193.0
"Hobby, toy, and game stores",2017-06-01,1178.0
"Hobby, toy, and game stores",2017-03-01,1355.0
"Hobby, toy, and game stores",2017-05-01,1247.0
"Hobby, toy, and game stores",2017-11-01,2239.0
"Hobby, toy, and game stores",2017-10-01,1445.0
"Hobby, toy, and game stores",2017-09-01,1348.0
Home furnishings stores,2017-04-01,3977.0
Home furnishings stores,2017-08-01,4804.0
Home furnishings stores,2017-12-01,6034.0
Home furnishings stores,2017-02-01,3620.0
Home furnishings stores,2017-01-01,3761.0
Home furnishings stores,2017-07-01,4292.0
Home furnishings stores,2017-06-01,4438.0
Home furnishings stores,2017-03-01,4339.0
Home furnishings stores,2017-05-01,4434.0
Home furnishings stores,2017-11-01,5238.0
Home furnishings stores,2017-10-01,4597.0
Home furnishings stores,2017-09-01,4487.0
Household appliance stores,2017-04-01,1350.0
Household appliance stores,2017-08-01,1387.0
Household appliance stores,2017-12-01,1432.0
Household appliance stores,2017-02-01,1290.0
Household appliance stores,2017-01-01,1302.0
Household appliance stores,2017-07-01,1396.0
Household appliance stores,2017-06-01,1448.0
Household appliance stores,2017-03-01,1493.0
Household appliance stores,2017-05-01,1453.0
Household appliance stores,2017-11-01,1510.0
Household appliance stores,2017-10-01,1360.0
Household appliance stores,2017-09-01,1385.0
Jewelry stores,2017-04-01,2172.0
Jewelry stores,2017-08-01,2263.0
Jewelry stores,2017-12-01,5832.0
Jewelry stores,2017-02-01,2435.0
Jewelry stores,2017-01-01,1742.0
Jewelry stores,2017-07-01,2204.0
Jewelry stores,2017-06-01,2237.0
Jewelry stores,2017-03-01,2101.0
Jewelry stores,2017-05-01,2746.0
Jewelry stores,2017-11-01,2810.0
Jewelry stores,2017-10-01,2231.0
Jewelry stores,2017-09-01,2215.0
Limited service eating places,2017-04-01,25164.0
Limited service eating places,2017-08-01,26444.0
Limited service eating places,2017-12-01,25812.0
Limited service eating places,2017-02-01,22355.0
Limited service eating places,2017-01-01,22813.0
Limited service eating places,2017-07-01,26457.0
Limited service eating places,2017-06-01,26184.0
Limited service eating places,2017-03-01,25841.0
Limited service eating places,2017-05-01,26328.0
Limited service eating places,2017-11-01,24314.0
Limited service eating places,2017-10-01,25607.0
Limited service eating places,2017-09-01,25042.0
Men's clothing stores,2017-04-01,834.0
Men's clothing stores,2017-08-01,719.0
Men's clothing stores,2017-12-01,1026.0
Men's clothing stores,2017-02-01,644.0
Men's clothing stores,2017-01-01,622.0
Men's clothing stores,2017-07-01,688.0
Men's clothing stores,2017-06-01,803.0
Men's clothing stores,2017-03-01,797.0
Men's clothing stores,2017-05-01,873.0
Men's clothing stores,2017-11-01,786.0
Men's clothing stores,2017-10-01,745.0
Men's clothing stores,2017-09-01,759.0
Miscellaneous store retailers,2017-04-01,9692.0
Miscellaneous store retailers,2017-08-01,10750.0
Miscellaneous store retailers,2017-12-01,11736.0
Miscellaneous store retailers,2017-02-01,8804.0
Miscellaneous store retailers,2017-01-01,8654.0
Miscellaneous store retailers,2017-07-01,10265.0
Miscellaneous store retailers,2017-06-01,10517.0
Miscellaneous store retailers,2017-03-01,9919.0
Miscellaneous store retailers,2017-05-01,11205.0
Miscellaneous store retailers,2017-11-01,10763.0
Miscellaneous store retailers,2017-10-01,10679.0
Miscellaneous store retailers,2017-09-01,10198.0
Motor vehicle and parts dealers,2017-04-01,97312.0
Motor vehicle and parts dealers,2017-08-01,104798.0
Motor vehicle and parts dealers,2017-12-01,100125.0
Motor vehicle and parts dealers,2017-02-01,89414.0
Motor vehicle and parts dealers,2017-01-01,85187.0
Motor vehicle and parts dealers,2017-07-01,102228.0
Motor vehicle and parts dealers,2017-06-01,102593.0
Motor vehicle and parts dealers,2017-03-01,106286.0
Motor vehicle and parts dealers,2017-05-01,105632.0
Motor vehicle and parts dealers,2017-11-01,94754.0
Motor vehicle and parts dealers,2017-10-01,97396.0
Motor vehicle and parts dealers,2017-09-01,99971.0
New car dealers,2017-04-01,72863.0
New car dealers,2017-08-01,80177.0
New car dealers,2017-12-01,79822.0
New car dealers,2017-02-01,67908.0
New car dealers,2017-01-01,65936.0
New car dealers,2017-07-01,77677.0
New car dealers,2017-06-01,76450.0
New car dealers,2017-03-01,79946.0
New car dealers,2017-05-01,79723.0
New car dealers,2017-11-01,73878.0
New car dealers,2017-10-01,75083.0
New car dealers,2017-09-01,77024.0
Nonstore retailers,2017-04-01,45486.0
Nonstore retailers,2017-08-01,49518.0
Nonstore retailers,2017-12-01,73618.0
Nonstore retailers,2017-02-01,43112.0
Nonstore retailers,2017-01-01,45822.0
Nonstore retailers,2017-07-01,46412.0
Nonstore retailers,2017-06-01,47780.0
Nonstore retailers,2017-03-01,49590.0
Nonstore retailers,2017-05-01,49369.0
Nonstore retailers,2017-11-01,61102.0
Nonstore retailers,2017-10-01,49547.0
Nonstore retailers,2017-09-01,46838.0
Office supplies and stationery stores,2017-04-01,920.0
Office supplies and stationery stores,2017-08-01,1390.0
Office supplies and stationery stores,2017-12-01,1016.0
Office supplies and stationery stores,2017-02-01,971.0
Office supplies and stationery stores,2017-01-01,1186.0
Office supplies and stationery stores,2017-07-01,926.0
Office supplies and stationery stores,2017-06-01,897.0
Office supplies and stationery stores,2017-03-01,1058.0
Office supplies and stationery stores,2017-05-01,961.0
Office supplies and stationery stores,2017-11-01,919.0
Office supplies and stationery stores,2017-10-01,941.0
Office supplies and stationery stores,2017-09-01,1076.0
"Office supplies, stationery, and gift stores",2017-04-01,2206.0
"Office supplies, stationery, and gift stores",2017-08-01,2875.0
"Office supplies, stationery, and gift stores",2017-12-01,3338.0
"Office supplies, stationery, and gift stores",2017-02-01,2059.0
"Office supplies, stationery, and gift stores",2017-01-01,2196.0
"Office supplies, stationery, and gift stores",2017-07-01,2459.0
"Office supplies, stationery, and gift stores",2017-06-01,2379.0
"Office supplies, stationery, and gift stores",2017-03-01,2291.0
"Office supplies, stationery, and gift stores",2017-05-01,2449.0
"Office supplies, stationery, and gift stores",2017-11-01,2419.0
"Office supplies, stationery, and gift stores",2017-10-01,2896.0
"Office supplies, stationery, and gift stores",2017-09-01,2494.0
Other clothing stores,2017-04-01,1376.0
Other clothing stores,2017-08-01,1576.0
Other clothing stores,2017-12-01,1815.0
Other clothing stores,2017-02-01,1444.0
Other clothing stores,2017-01-01,1502.0
Other clothing stores,2017-07-01,1385.0
Other clothing stores,2017-06-01,1494.0
Other clothing stores,2017-03-01,1579.0
Other clothing stores,2017-05-01,1479.0
Other clothing stores,2017-11-01,1513.0
Other clothing stores,2017-10-01,1297.0
Other clothing stores,2017-09-01,1362.0
Other general merchandise stores,2017-04-01,44191.0
Other general merchandise stores,2017-08-01,45710.0
Other general merchandise stores,2017-12-01,58333.0
Other general merchandise stores,2017-02-01,39662.0
Other general merchandise stores,2017-01-01,40520.0
Other general merchandise stores,2017-07-01,45054.0
Other general merchandise stores,2017-06-01,45151.0
Other general merchandise stores,2017-03-01,44132.0
Other general merchandise stores,2017-05-01,44770.0
Other general merchandise stores,2017-11-01,48884.0
Other general merchandise stores,2017-10-01,45240.0
Other general merchandise stores,2017-09-01,43590.0
Paint and wallpaper stores,2017-04-01,935.0
Paint and wallpaper stores,2017-08-01,1124.0
Paint and wallpaper stores,2017-12-01,788.0
Paint and wallpaper stores,2017-02-01,772.0
Paint and wallpaper stores,2017-01-01,747.0
Paint and wallpaper stores,2017-07-01,1044.0
Paint and wallpaper stores,2017-06-01,1115.0
Paint and wallpaper stores,2017-03-01,978.0
Paint and wallpaper stores,2017-05-01,1082.0
Paint and wallpaper stores,2017-11-01,897.0
Paint and wallpaper stores,2017-10-01,1039.0
Paint and wallpaper stores,2017-09-01,1015.0
Pharmacies and drug stores,2017-04-01,21612.0
Pharmacies and drug stores,2017-08-01,22820.0
Pharmacies and drug stores,2017-12-01,24692.0
Pharmacies and drug stores,2017-02-01,20599.0
Pharmacies and drug stores,2017-01-01,21723.0
Pharmacies and drug stores,2017-07-01,21610.0
Pharmacies and drug stores,2017-06-01,22345.0
Pharmacies and drug stores,2017-03-01,22640.0
Pharmacies and drug stores,2017-05-01,23007.0
Pharmacies and drug stores,2017-11-01,22676.0
Pharmacies and drug stores,2017-10-01,23386.0
Pharmacies and drug stores,2017-09-01,21944.0
Restaurants and other eating places,2017-04-01,50905.0
Restaurants and other eating places,2017-08-01,51564.0
Restaurants and other eating places,2017-12-01,53589.0
Restaurants and other eating places,2017-02-01,45966.0
Restaurants and other eating places,2017-01-01,46503.0
Restaurants and other eating places,2017-07-01,51817.0
Restaurants and other eating places,2017-06-01,51666.0
Restaurants and other eating places,2017-03-01,52531.0
Restaurants and other eating places,2017-05-01,52503.0
